code,name,memo,list
7911,TOPPANホールディングス,,日経225
7912,大日本印刷,,日経225
7951,ヤマハ,,日経225
7974,任天堂,,日経225
8001,伊藤忠商事,,日経225
8002,丸紅,,日経225
8015,豊田通商,,日経225
8031,三井物産,,日経225
8053,住友商事,,日経225
8058,三菱商事,,日経225
8233,高島屋,,日経225
8252,丸井グループ,,日経225
8253,クレディセゾン,,日経225
8267,イオン,,日経225
8304,あおぞら銀行,,日経225
8308,りそなホールディングス,,日経225
8309,三井住友トラストグループ,,日経225
8316,三井住友フィナンシャルグループ,,日経225
8331,千葉銀行,,日経225
8354,ふくおかフィナンシャルグループ,,日経225
8411,みずほフィナンシャルグループ,,日経225
8591,オリックス,,日経225
8601,大和証券グループ本社,,日経225
8604,野村ホールディングス,,日経225
8630,SOMPOホールディングス,,日経225
8697,日本取引所グループ,,日経225
8725,MS＆ADインシュアランスグループホールディングス,,日経225
8750,第一ライフグループ,,日経225
8766,東京海上ホールディングス,,日経225
8795,T＆Dホールディングス,,日経225
8801,三井不動産,,日経225
8802,三菱地所,,日経225
8804,東京建物,,日経225
8830,住友不動産,,日経225
9001,東武鉄道,,日経225
9005,東急,,日経225
9007,小田急電鉄,,日経225
9008,京王電鉄,,日経225
9009,京成電鉄,,日経225
9020,東日本旅客鉄道,,日経225
9021,西日本旅客鉄道,,日経225
9022,東海旅客鉄道,,日経225
9064,ヤマトホールディングス,,日経225
9101,日本郵船,,日経225
9104,商船三井,,日経225
9107,川崎汽船,,日経225
9147,NIPPON EXPRESSホールディングス,,日経225
9201,日本航空,,日経225
9202,ANAホールディングス,,日経225
9432,NTT,,日経225
9433,KDDI,,日経225
9434,ソフトバンク,,日経225
9501,東京電力ホールディングス,,日経225
9502,中部電力,,日経225
9503,関西電力,,日経225
9531,東京瓦斯,,日経225
9532,大阪瓦斯,,日経225
9602,東宝,,日経225
9735,セコム,,日経225
9766,コナミグループ,,日経225
9843,ニトリホールディングス,,日経225
9983,ファーストリテイリング,,日経225
285A,キオクシア,,日経225
543A,ARCHION,,日経225
